iter	Logloss
0	0.68878852
1	0.6849953391
2	0.6794487847
3	0.6750483349
4	0.6697318645
5	0.6653607609
6	0.6602079141
7	0.6544745551
8	0.6501614041
9	0.6464733394
10	0.6425662262
11	0.6384393865
12	0.6347949095
13	0.6307904484
14	0.6258886472
15	0.6228670987
16	0.6191371725
17	0.6166035354
18	0.6130248407
19	0.6097541578
20	0.6071680551
21	0.6032698198
22	0.6003898852
23	0.5968177872
24	0.5942270606
25	0.5904356061
26	0.5879679978
27	0.5854941012
28	0.5819596108
29	0.5786984839
30	0.5765812421
31	0.5742072828
32	0.5723018762
33	0.5700444385
34	0.567263085
35	0.5645854295
36	0.5623133804
37	0.5599179663
38	0.5583286478
39	0.5564358798
40	0.5538923167
41	0.55187791
42	0.5496443932
43	0.5479418205
44	0.5462559556
45	0.5447984484
46	0.5428354591
47	0.5411420109
48	0.5396763657
49	0.5373373629
50	0.5354470609
51	0.5331502279
52	0.5314884687
53	0.529607846
54	0.5281649503
55	0.526286917
56	0.5243395873
57	0.5223011364
58	0.5200660166
59	0.5182528409
60	0.5166767775
61	0.5154336949
62	0.5141115439
63	0.5124497847
64	0.5110423695
65	0.5099668252
66	0.5086300012
67	0.5071356879
68	0.5057446104
69	0.504497582
70	0.5024558636
71	0.5009746513
72	0.4994193337
73	0.498092898
74	0.4970813481
75	0.495635339
76	0.4943306971
77	0.493365386
78	0.4916450578
79	0.4899629843
80	0.4888502949
81	0.4874512952
82	0.4860796688
83	0.4848388672
84	0.4834656378
85	0.4823236022
86	0.4811240456
87	0.4798878063
88	0.478636339
89	0.4777161878
90	0.4769745181
91	0.476168515
92	0.4748048108
93	0.4738289881
94	0.4729439784
95	0.4715505272
96	0.4708750715
97	0.4697922215
98	0.4684847745
99	0.4682009919
100	0.4669239699
101	0.4667981389
102	0.4661100137
103	0.4647427646
104	0.4636528863
105	0.4627155342
106	0.4615058668
107	0.4604398477
108	0.4598210499
109	0.4591270986
110	0.4582161027
111	0.4574764059
112	0.4561845259
113	0.4551362625
114	0.4541389542
115	0.4532327671
116	0.4524245753
117	0.4512851908
118	0.4504264446
119	0.449656816
120	0.4485686023
121	0.4476204304
122	0.4465541647
123	0.4458165024
124	0.4450264362
125	0.4440745652
126	0.4434957177
127	0.4426320702
128	0.4418992168
129	0.4409848608
130	0.4402936223
131	0.4391591082
132	0.4391250148
133	0.4381888341
134	0.4373344653
135	0.4363930442
136	0.4354658031
137	0.434718184
138	0.4340349602
139	0.4333885116
140	0.4328383012
141	0.4318667017
142	0.4309414642
143	0.4304539844
144	0.4297149042
145	0.4285975909
146	0.4279055509
147	0.4271237768
148	0.4262275156
149	0.425434336
150	0.4245262069
151	0.4237479778
152	0.4232214725
153	0.4225833777
154	0.4220495975
155	0.4213254062
156	0.4206075957
157	0.420112317
158	0.4193881565
159	0.4189730558
160	0.4185219813
161	0.4178725426
162	0.4170136423
163	0.4161469431
164	0.415233142
165	0.4145128346
166	0.4135666356
167	0.412912049
168	0.4118920529
169	0.4110311489
170	0.4100570216
171	0.4090205337
172	0.4083474207
173	0.4077957616
174	0.4073447488
175	0.4067704018
176	0.406034065
177	0.4051732535
178	0.4045687589
179	0.4039760705
180	0.4031637173
181	0.4024258084
182	0.4017698346
183	0.4011641069
184	0.400653631
185	0.4002155651
186	0.3990500094
187	0.3985396568
188	0.3978874746
189	0.397325797
190	0.3969282054
191	0.3963288278
192	0.3955269245
193	0.394898509
194	0.3942636509
195	0.3938368672
196	0.3930747292
197	0.3926118485
198	0.3919372559
199	0.3914642334
200	0.3908425071
201	0.390356846
202	0.3896259655
203	0.3886548591
204	0.3881135574
205	0.3875151047
206	0.3868981564
207	0.386433611
208	0.3861253526
209	0.3853475551
210	0.3847463897
211	0.384312516
212	0.3834796944
213	0.382584173
214	0.3817217894
215	0.3810573385
216	0.3810403843
217	0.3803788002
218	0.3797284984
219	0.3791900018
220	0.3783425071
221	0.3779180662
222	0.3774533358
223	0.3769371264
224	0.3762987541
225	0.3759094238
226	0.3751950659
227	0.3747279003
228	0.3741851807
229	0.3735361427
230	0.3729565861
231	0.3726005169
232	0.37258757
233	0.3721166746
234	0.3712427621
235	0.3708129883
236	0.3702509408
237	0.3698919123
238	0.3691244723
239	0.3686907527
240	0.368066622
241	0.3674065484
242	0.366593332
243	0.3662196612
244	0.3657466388
245	0.3653635969
246	0.3648436267
247	0.3643067023
248	0.3638108687
249	0.3633832219
250	0.363264789
251	0.3625319972
252	0.3619930999
253	0.3612953263
254	0.3608120388
255	0.3605310922
256	0.3602181175
257	0.359684029
258	0.3592673562
259	0.3586521958
260	0.358028959
261	0.3575110233
262	0.3567099831
263	0.3564630374
264	0.3557220459
265	0.3552374946
