iter	Passed	Remaining
447	1119	1379
448	1121	1375
449	1123	1372
450	1124	1369
451	1126	1366
452	1128	1362
453	1130	1359
454	1132	1356
455	1134	1353
456	1136	1350
457	1138	1347
458	1141	1344
459	1143	1341
460	1145	1338
461	1146	1335
462	1148	1332
463	1150	1329
464	1152	1326
465	1154	1323
466	1156	1320
467	1158	1316
468	1160	1313
469	1162	1310
470	1164	1307
471	1165	1304
472	1167	1301
473	1169	1297
474	1171	1294
475	1173	1291
476	1175	1288
477	1177	1285
478	1179	1282
479	1181	1279
480	1183	1277
481	1185	1274
482	1187	1271
483	1189	1268
484	1192	1265
485	1194	1262
486	1195	1259
487	1197	1256
488	1199	1253
489	1201	1250
490	1203	1248
491	1205	1245
492	1207	1242
493	1210	1240
494	1212	1237
495	1215	1234
496	1217	1232
497	1220	1230
498	1223	1228
499	1225	1225
500	1228	1223
501	1230	1221
502	1233	1218
503	1235	1216
504	1237	1213
505	1240	1210
506	1242	1208
507	1244	1205
508	1247	1203
509	1249	1200
510	1251	1197
511	1253	1194
512	1255	1191
513	1257	1188
514	1260	1186
515	1262	1184
516	1264	1181
517	1267	1178
518	1269	1176
519	1271	1173
520	1274	1171
521	1276	1168
522	1278	1166
523	1281	1164
524	1284	1161
525	1286	1159
526	1288	1156
527	1290	1153
528	1293	1151
529	1295	1148
530	1297	1146
531	1299	1143
532	1301	1140
533	1303	1137
534	1305	1134
535	1307	1131
536	1309	1129
537	1311	1126
538	1313	1123
539	1315	1120
540	1317	1117
541	1319	1115
542	1322	1112
543	1324	1110
544	1327	1107
545	1329	1105
546	1332	1103
547	1335	1101
548	1338	1099
549	1340	1097
550	1343	1094
551	1346	1092
552	1348	1090
553	1351	1087
554	1353	1085
555	1356	1083
556	1358	1080
557	1361	1078
558	1363	1075
559	1366	1073
560	1368	1070
561	1370	1068
562	1372	1065
563	1375	1063
564	1377	1060
565	1379	1057
566	1381	1055
567	1384	1052
568	1387	1050
569	1389	1048
570	1392	1045
571	1394	1043
572	1397	1041
573	1399	1038
574	1402	1036
575	1404	1034
576	1407	1032
577	1410	1029
578	1412	1027
579	1415	1024
580	1417	1022
581	1419	1019
582	1421	1017
583	1424	1014
584	1427	1012
585	1430	1010
586	1433	1008
587	1437	1006
588	1440	1004
589	1443	1003
590	1446	1001
591	1449	999
592	1452	997
593	1455	994
594	1458	992
595	1461	990
596	1464	988
597	1467	986
598	1470	984
599	1473	982
600	1476	980
601	1479	977
602	1481	975
603	1485	973
604	1488	971
605	1491	969
606	1494	967
607	1497	965
608	1502	964
609	1506	962
610	1509	961
611	1512	958
612	1532	967
613	1535	965
614	1538	963
615	1541	961
616	1544	958
617	1547	956
618	1551	954
619	1554	952
620	1557	950
621	1560	948
622	1563	946
623	1566	944
